<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.04.15	1.09770	1.09899	1.08563	1.09107	49073	0	0
2020.04.16	1.09047	1.09106	1.08161	1.08381	59176	0	3
2020.04.17	1.08322	1.08921	1.08115	1.08690	57822	0	0
2020.04.20	1.08619	1.08961	1.08406	1.08614	45444	0	3
2020.04.21	1.08588	1.08796	1.08161	1.08561	54676	0	1
2020.04.22	1.08554	1.08847	1.08027	1.08220	42227	0	0
2020.04.23	1.08212	1.08462	1.07554	1.07741	58953	0	3
2020.04.24	1.07750	1.08288	1.07265	1.08238	47201	0	0
2020.04.27	1.08198	1.08595	1.08107	1.08284	42664	0	4
2020.04.28	1.08251	1.08878	1.08093	1.08190	44600	0	5
2020.04.29	1.08177	1.08851	1.08165	1.08712	45694	0	5
2020.04.30	1.08678	1.09720	1.08325	1.09511	59981	0	0
2020.05.01	1.09462	1.10176	1.09339	1.09772	44980	0	0
2020.05.04	1.09653	1.09730	1.08951	1.09029	45635	0	5
2020.05.05	1.09008	1.09253	1.08253	1.08368	47042	0	3
2020.05.06	1.08259	1.08447	1.07815	1.07952	44909	0	1
2020.05.07	1.07896	1.08333	1.07659	1.08311	49808	0	2
2020.05.08	1.08295	1.08750	1.08146	1.08382	38928	0	0
2020.05.11	1.08249	1.08500	1.07998	1.08054	42265	0	4
2020.05.12	1.08033	1.08847	1.07838	1.08477	46860	0	0
2020.05.13	1.08466	1.08958	1.08111	1.08181	49901	0	0
2020.05.14	1.08168	1.08234	1.07743	1.08036	45803	0	0
2020.05.15	1.08032	1.08504	1.07883	1.08175	44144	0	0
2020.05.18	1.08025	1.09265	1.07994	1.09132	42348	0	0
2020.05.19	1.09153	1.09755	1.09016	1.09226	45544	0	5
2020.05.20	1.09210	1.09986	1.09161	1.09778	40538	0	0
2020.05.21	1.09760	1.10079	1.09366	1.09486	40651	0	0
2020.05.22	1.09451	1.09534	1.08848	1.09012	35751	0	4
2020.05.25	1.08894	1.09140	1.08701	1.08947	22858	0	5
2020.05.26	1.08939	1.09953	1.08911	1.09813	42235	0	4
2020.05.27	1.09809	1.10302	1.09333	1.10081	63523	0	0
2020.05.28	1.09966	1.10929	1.09911	1.10765	57192	0	0
2020.05.29	1.10757	1.11447	1.10684	1.11021	66619	0	0
2020.06.01	1.11085	1.11533	1.10999	1.11333	54175	0	0
2020.06.02	1.11349	1.11953	1.11146	1.11683	61398	0	0
2020.06.03	1.11672	1.12572	1.11660	1.12329	66567	0	0
2020.06.04	1.12322	1.13617	1.11942	1.13348	69632	0	0
2020.06.05	1.13357	1.13831	1.12779	1.12903	67662	0	0
2020.06.08	1.12921	1.13193	1.12676	1.12931	52576	0	0
2020.06.09	1.12893	1.13632	1.12405	1.13377	58890	0	2
2020.06.10	1.13340	1.14219	1.13209	1.13750	65817	0	0
2020.06.11	1.13700	1.14031	1.12880	1.12967	82663	0	0
2020.06.12	1.12928	1.13399	1.12120	1.12560	78685	0	0
2020.06.15	1.12323	1.13320	1.12258	1.13221	81102	0	0
2020.06.16	1.13213	1.13528	1.12274	1.12626	71019	0	3
2020.06.17	1.12622	1.12935	1.12064	1.12417	64286	0	1
2020.06.18	1.12392	1.12608	1.11850	1.12039	61172	0	4
2020.06.19	1.11994	1.12538	1.11677	1.11758	54313	0	0
2020.06.22	1.11809	1.12694	1.11678	1.12606	47392	0	2
2020.06.23	1.12543	1.13481	1.12327	1.13080	60321	0	0
2020.06.24	1.13064	1.13252	1.12478	1.12494	53637	0	0
2020.06.25	1.12488	1.12591	1.11898	1.12174	54486	0	0
2020.06.26	1.12158	1.12388	1.11946	1.12170	41710	0	4
2020.06.29	1.12162	1.12873	1.12159	1.12418	45406	0	3
2020.06.30	1.12401	1.12612	1.11904	1.12328	50101	0	4
2020.07.01	1.12322	1.12746	1.11845	1.12504	47776	0	0
2020.07.02	1.12502	1.13022	1.12229	1.12389	47515	0	0
2020.07.03	1.12287	1.12498	1.12188	1.12391	41330	0	5
2020.07.06	1.12391	1.13450	1.12391	1.13079	108010	0	1
2020.07.07	1.13084	1.13322	1.12582	1.12724	113124	0	1
2020.07.08	1.12725	1.13511	1.12617	1.13290	119313	0	1
2020.07.09	1.13260	1.13701	1.12796	1.12839	153332	0	1
2020.07.10	1.12839	1.13242	1.12541	1.12980	109989	0	2
2020.07.13	1.13034	1.13743	1.13003	1.13430	125323	0	1
2020.07.14	1.13426	1.14082	1.13246	1.13990	136628	0	1
