<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.01.07	13:30:00	1.11784	1.11844	1.11758	1.11812	757	0	9
2020.01.07	14:00:00	1.11813	1.11827	1.11767	1.11790	759	0	6
2020.01.07	14:30:00	1.11791	1.11802	1.11705	1.11742	775	0	8
2020.01.07	15:00:00	1.11742	1.11774	1.11672	1.11731	1204	0	8
2020.01.07	15:30:00	1.11732	1.11732	1.11542	1.11557	1157	0	7
2020.01.07	16:00:00	1.11555	1.11617	1.11545	1.11571	946	0	9
2020.01.07	16:30:00	1.11571	1.11594	1.11460	1.11472	1369	0	4
2020.01.07	17:00:00	1.11467	1.11512	1.11372	1.11394	1525	0	7
2020.01.07	17:30:00	1.11394	1.11422	1.11337	1.11412	1367	0	8
2020.01.07	18:00:00	1.11411	1.11435	1.11331	1.11380	930	0	6
2020.01.07	18:30:00	1.11378	1.11389	1.11337	1.11365	627	0	8
2020.01.07	19:00:00	1.11365	1.11455	1.11363	1.11436	661	0	4
2020.01.07	19:30:00	1.11439	1.11469	1.11412	1.11420	728	0	6
2020.01.07	20:00:00	1.11421	1.11490	1.11409	1.11484	551	0	8
2020.01.07	20:30:00	1.11485	1.11487	1.11428	1.11428	460	0	8
2020.01.07	21:00:00	1.11430	1.11437	1.11412	1.11428	533	0	7
2020.01.07	21:30:00	1.11427	1.11445	1.11415	1.11441	428	0	8
2020.01.07	22:00:00	1.11441	1.11472	1.11441	1.11460	400	0	6
2020.01.07	22:30:00	1.11459	1.11459	1.11419	1.11432	338	0	8
2020.01.07	23:00:00	1.11434	1.11460	1.11432	1.11452	267	0	9
2020.01.07	23:30:00	1.11454	1.11515	1.11446	1.11514	437	0	9
2020.01.08	00:00:00	1.11510	1.11519	1.11470	1.11478	203	0	15
2020.01.08	00:30:00	1.11474	1.11485	1.11438	1.11472	524	0	0
2020.01.08	01:00:00	1.11472	1.11535	1.11459	1.11519	505	0	10
2020.01.08	01:30:00	1.11518	1.11539	1.11472	1.11536	752	0	8
2020.01.08	02:00:00	1.11534	1.11677	1.11521	1.11619	1786	0	5
2020.01.08	02:30:00	1.11621	1.11650	1.11580	1.11581	1085	0	5
2020.01.08	03:00:00	1.11581	1.11627	1.11579	1.11585	1008	0	6
2020.01.08	03:30:00	1.11585	1.11622	1.11543	1.11552	1208	0	6
2020.01.08	04:00:00	1.11552	1.11565	1.11535	1.11548	922	0	5
2020.01.08	04:30:00	1.11548	1.11608	1.11526	1.11582	1074	0	7
2020.01.08	05:00:00	1.11581	1.11586	1.11557	1.11565	593	0	8
2020.01.08	05:30:00	1.11564	1.11577	1.11530	1.11542	401	0	8
2020.01.08	06:00:00	1.11541	1.11552	1.11499	1.11500	336	0	8
2020.01.08	06:30:00	1.11500	1.11501	1.11446	1.11472	506	0	7
2020.01.08	07:00:00	1.11473	1.11492	1.11468	1.11489	427	0	9
2020.01.08	07:30:00	1.11490	1.11508	1.11475	1.11486	329	0	7
2020.01.08	08:00:00	1.11486	1.11535	1.11480	1.11524	473	0	8
2020.01.08	08:30:00	1.11526	1.11528	1.11481	1.11494	500	0	9
2020.01.08	09:00:00	1.11495	1.11544	1.11443	1.11447	1284	0	0
2020.01.08	09:30:00	1.11446	1.11543	1.11427	1.11509	1251	0	6
2020.01.08	10:00:00	1.11510	1.11529	1.11306	1.11370	1758	0	1
2020.01.08	10:30:00	1.11369	1.11369	1.11295	1.11345	1378	0	8
2020.01.08	11:00:00	1.11345	1.11350	1.11246	1.11346	1096	0	4
2020.01.08	11:30:00	1.11343	1.11442	1.11338	1.11377	943	0	8
2020.01.08	12:00:00	1.11378	1.11380	1.11294	1.11303	1088	0	7
2020.01.08	12:30:00	1.11301	1.11323	1.11248	1.11269	854	0	8
2020.01.08	13:00:00	1.11267	1.11305	1.11196	1.11282	881	0	5
2020.01.08	13:30:00	1.11281	1.11306	1.11242	1.11266	962	0	9
2020.01.08	14:00:00	1.11266	1.11300	1.11214	1.11243	844	0	8
2020.01.08	14:30:00	1.11244	1.11257	1.11132	1.11161	1052	0	3
2020.01.08	15:00:00	1.11162	1.11190	1.11106	1.11143	1425	0	7
2020.01.08	15:30:00	1.11143	1.11218	1.11141	1.11194	874	0	7
2020.01.08	16:00:00	1.11195	1.11244	1.11170	1.11243	776	0	9
