<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.02.04	04:00:00	1.10598	1.10629	1.10551	1.10579	1873	0	7
2020.02.04	08:00:00	1.10579	1.10631	1.10484	1.10551	6552	0	6
2020.02.04	12:00:00	1.10547	1.10576	1.10426	1.10439	5083	0	7
2020.02.04	16:00:00	1.10438	1.10479	1.10322	1.10367	6982	0	3
2020.02.04	20:00:00	1.10364	1.10453	1.10361	1.10438	2320	0	7
2020.02.05	00:00:00	1.10434	1.10456	1.10392	1.10398	1873	0	7
2020.02.05	04:00:00	1.10399	1.10404	1.10331	1.10373	1520	0	8
2020.02.05	08:00:00	1.10373	1.10474	1.10211	1.10255	6205	0	7
2020.02.05	12:00:00	1.10254	1.10292	1.10075	1.10118	6058	0	6
2020.02.05	16:00:00	1.10119	1.10138	1.09958	1.10006	7262	0	0
2020.02.05	20:00:00	1.10007	1.10026	1.09932	1.09983	2089	0	5
2020.02.06	00:00:00	1.09980	1.10001	1.09938	1.09977	1848	0	7
2020.02.06	04:00:00	1.09976	1.09993	1.09936	1.09993	1579	0	7
2020.02.06	08:00:00	1.09993	1.10134	1.09937	1.09985	5205	0	5
2020.02.06	12:00:00	1.09987	1.10052	1.09949	1.10010	4044	0	6
2020.02.06	16:00:00	1.10012	1.10012	1.09638	1.09745	7895	0	5
2020.02.06	20:00:00	1.09746	1.09818	1.09704	1.09802	2365	0	7
2020.02.07	00:00:00	1.09799	1.09826	1.09759	1.09824	1445	0	7
2020.02.07	04:00:00	1.09825	1.09845	1.09787	1.09803	1789	0	7
2020.02.07	08:00:00	1.09803	1.09821	1.09530	1.09539	5660	0	6
2020.02.07	12:00:00	1.09542	1.09704	1.09473	1.09576	6481	0	7
2020.02.07	16:00:00	1.09577	1.09757	1.09414	1.09422	9100	0	6
2020.02.07	20:00:00	1.09421	1.09487	1.09420	1.09434	2571	0	7
2020.02.10	00:00:00	1.09431	1.09528	1.09412	1.09500	2116	0	6
2020.02.10	04:00:00	1.09500	1.09570	1.09495	1.09550	1712	0	7
2020.02.10	08:00:00	1.09550	1.09570	1.09442	1.09492	4306	0	5
2020.02.10	12:00:00	1.09492	1.09545	1.09296	1.09320	4853	0	5
2020.02.10	16:00:00	1.09321	1.09377	1.09086	1.09097	5698	0	4
2020.02.10	20:00:00	1.09098	1.09162	1.09071	1.09101	2483	0	5
2020.02.11	00:00:00	1.09098	1.09147	1.09074	1.09135	1774	0	7
2020.02.11	04:00:00	1.09135	1.09166	1.09072	1.09118	1687	0	7
2020.02.11	08:00:00	1.09117	1.09152	1.09052	1.09133	4181	0	7
2020.02.11	12:00:00	1.09133	1.09202	1.08907	1.09030	5342	0	6
2020.02.11	16:00:00	1.09030	1.09242	1.09010	1.09213	7861	0	5
2020.02.11	20:00:00	1.09212	1.09231	1.09150	1.09153	2436	0	7
2020.02.12	00:00:00	1.09142	1.09204	1.09112	1.09177	2268	0	8
2020.02.12	04:00:00	1.09178	1.09192	1.09091	1.09102	1666	0	7
2020.02.12	08:00:00	1.09103	1.09250	1.09017	1.09197	5409	0	7
2020.02.12	12:00:00	1.09196	1.09212	1.09043	1.09047	4354	0	6
2020.02.12	16:00:00	1.09045	1.09100	1.08762	1.08784	7806	0	0
