time,open,high,low,close,volume,spread
2022.09.23 06:15:00,11473.6,11477.85,11463.72,11468.85,728,120
2022.09.23 06:30:00,11468.85,11468.85,11449.97,11453.85,751,120
2022.09.23 06:45:00,11454.1,11459.85,11450.22,11457.85,561,120
2022.09.23 07:00:00,11457.85,11461.47,11422.22,11431.6,917,95
2022.09.23 07:15:00,11431.47,11445.72,11427.1,11441.6,708,120
2022.09.23 07:30:00,11441.6,11453.85,11441.47,11449.72,734,120
2022.09.23 07:45:00,11449.72,11453.22,11430.85,11434.47,690,120
2022.09.23 08:00:00,11433.97,11469.6,11433.47,11464.85,1111,120
2022.09.23 08:15:00,11465.35,11475.22,11462.85,11467.85,1023,120
2022.09.23 08:30:00,11468.22,11469.1,11453.47,11454.1,839,120
2022.09.23 08:45:00,11453.97,11465.35,11446.1,11457.35,877,120
2022.09.23 09:00:00,11456.47,11480.2,11448.6,11476.2,1159,13
2022.09.23 09:15:00,11475.32,11477.82,11452.2,11452.2,992,100
2022.09.23 09:30:00,11453.32,11476.7,11453.32,11460.45,896,37
2022.09.23 09:45:00,11460.45,11462.82,11449.7,11454.57,837,100
2022.09.23 10:00:00,11454.45,11457.07,11407.82,11428.45,1815,87
2022.09.23 10:15:00,11428.2,11445.7,11426.57,11438.57,1556,100
2022.09.23 10:30:00,11438.57,11442.07,11420.45,11429.2,1505,100
2022.09.23 10:45:00,11429.07,11443.82,11422.82,11439.95,1305,100
2022.09.23 11:00:00,11439.7,11455.2,11416.2,11416.2,1412,100
2022.09.23 11:15:00,11415.7,11426.32,11409.57,11412.95,1221,100
2022.09.23 11:30:00,11412.95,11423.95,11402.82,11413.2,1239,100
2022.09.23 11:45:00,11413.2,11417.32,11393.2,11394.45,1304,100
2022.09.23 12:00:00,11394.57,11399.2,11382.45,11388.32,1386,100
2022.09.23 12:15:00,11388.32,11394.32,11378.95,11380.45,1249,100
2022.09.23 12:30:00,11379.95,11383.95,11340.82,11349.7,1642,100
2022.09.23 12:45:00,11350.82,11378.7,11346.82,11376.95,1498,100
2022.09.23 13:00:00,11376.2,11377.82,11365.82,11369.07,1390,100
