<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.01.14	09:00:00	1.11439	1.11439	1.11368	1.11420	1286	0	8
2020.01.14	10:00:00	1.11419	1.11435	1.11329	1.11347	1937	0	8
2020.01.14	11:00:00	1.11346	1.11352	1.11298	1.11308	1300	0	6
2020.01.14	12:00:00	1.11308	1.11348	1.11278	1.11334	1041	0	9
2020.01.14	13:00:00	1.11334	1.11340	1.11258	1.11298	1481	0	7
2020.01.14	14:00:00	1.11297	1.11297	1.11189	1.11202	1421	0	4
2020.01.14	15:00:00	1.11201	1.11203	1.11044	1.11097	2552	0	6
2020.01.14	16:00:00	1.11096	1.11229	1.11039	1.11213	2432	0	7
2020.01.14	17:00:00	1.11213	1.11227	1.11132	1.11217	2202	0	4
2020.01.14	18:00:00	1.11216	1.11299	1.11198	1.11290	1436	0	8
2020.01.14	19:00:00	1.11292	1.11322	1.11267	1.11305	911	0	8
2020.01.14	20:00:00	1.11303	1.11343	1.11293	1.11309	1183	0	7
2020.01.14	21:00:00	1.11310	1.11324	1.11275	1.11275	810	0	8
2020.01.14	22:00:00	1.11275	1.11298	1.11265	1.11279	761	0	7
2020.01.14	23:00:00	1.11277	1.11278	1.11243	1.11258	353	0	9
2020.01.15	00:00:00	1.11255	1.11267	1.11237	1.11259	188	0	9
2020.01.15	01:00:00	1.11261	1.11275	1.11256	1.11270	325	0	9
2020.01.15	02:00:00	1.11271	1.11302	1.11265	1.11291	548	0	7
2020.01.15	03:00:00	1.11291	1.11306	1.11267	1.11291	574	0	8
2020.01.15	04:00:00	1.11291	1.11307	1.11264	1.11286	492	0	9
2020.01.15	05:00:00	1.11286	1.11306	1.11276	1.11297	409	0	8
2020.01.15	06:00:00	1.11297	1.11332	1.11292	1.11326	463	0	8
2020.01.15	07:00:00	1.11325	1.11340	1.11312	1.11334	418	0	9
2020.01.15	08:00:00	1.11334	1.11359	1.11317	1.11350	574	0	8
2020.01.15	09:00:00	1.11350	1.11362	1.11266	1.11279	935	0	8
2020.01.15	10:00:00	1.11275	1.11302	1.11181	1.11297	1464	0	7
2020.01.15	11:00:00	1.11294	1.11329	1.11251	1.11278	1537	0	8
2020.01.15	12:00:00	1.11276	1.11389	1.11245	1.11383	969	0	7
2020.01.15	13:00:00	1.11382	1.11542	1.11375	1.11475	1909	0	3
2020.01.15	14:00:00	1.11474	1.11519	1.11391	1.11404	1357	0	7
2020.01.15	15:00:00	1.11411	1.11489	1.11396	1.11485	1967	0	8
2020.01.15	16:00:00	1.11483	1.11629	1.11481	1.11518	2190	0	7
2020.01.15	17:00:00	1.11514	1.11540	1.11427	1.11518	1948	0	6
2020.01.15	18:00:00	1.11517	1.11594	1.11490	1.11591	1574	0	7
2020.01.15	19:00:00	1.11593	1.11610	1.11557	1.11572	1174	0	7
2020.01.15	20:00:00	1.11571	1.11592	1.11493	1.11510	871	0	9
2020.01.15	21:00:00	1.11511	1.11535	1.11490	1.11499	712	0	7
